user_id,shelf,isbn,title,author,num_pages,publication_year,publisher,my_rating,average_rating,ratings_count,links
40732498,read,0307269981,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,503.0,2009-01-01,Alfred A. Knopf,4.0,4.24,4.24,www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
40732498,read,,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,465.0,2008-01-01,Knopf,4.0,4.14,4.14,www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
40732498,read,,Gog,Giovanni Papini,386.0,1958-01-01,İş Bankası Kültür Yayınları,3.0,4.19,4.19,www.goodreads.com/book/show/10116463-gog
40732498,read,1633690709,"Good Charts: The HBR Guide to Making Smarter, More Persuasive Data Visualizations",Scott Berinato,264.0,2016-01-01,Harvard Business Review Press,1.0,4.2,4.2,www.goodreads.com/book/show/27038049-good-charts
40732498,read,1607743213,Graduate Admissions Essays: Write Your Way into the Graduate School of Your Choice,Donald Asher,256.0,2012-01-01,Ten Speed Press,3.0,4.03,4.03,www.goodreads.com/book/show/13153703-graduate-admissions-essays
40732498,read,1618213938,Grad’s Guide to Graduate Admissions Essays: Examples from Real Students Who Got into Top Schools,Colleen Reding,225.0,2015-01-01,Prufrock Press,2.0,3.95,3.95,www.goodreads.com/book/show/25170408-grad-s-guide-to-graduate-admissions-essays
40732498,read,,The Great Silence,Ted Chiang,,,,3.0,4.13,4.13,www.goodreads.com/book/show/32605418-the-great-silence
40732498,read,,Grit: The Power of Passion and Perseverance,Angela Duckworth,,,,2.0,4.09,4.09,www.goodreads.com/book/show/26720236-grit
40732498,read,1857446496,A Guide to Chess Improvement: The Best of Novice Nook,Dan Heisman,384.0,2010-01-01,Everyman Chess,4.0,4.45,4.45,www.goodreads.com/book/show/10082852-a-guide-to-chess-improvement
40732498,read,,Guía esencial para aprender a redactar,Sandro Cohen,,,,3.0,4.29,4.29,www.goodreads.com/book/show/25156678-gu-a-esencial-para-aprender-a-redactar
40732498,read,,The Happiness Hypothesis: Putting Ancient Wisdom to the Test of Modern Science,Jonathan Haidt,,,,3.0,4.12,4.12,www.goodreads.com/book/show/25752455-the-happiness-hypothesis
40732498,read,,Happiness: A Philosopher's Guide,Frédéric Lenoir,,,,3.0,3.94,3.94,www.goodreads.com/book/show/25144131-happiness
40732498,read,0765316897,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,572.0,2008-01-01,Tor Books,4.0,4.48,4.48,www.goodreads.com/book/show/2767793-the-hero-of-ages
